geography,label,geo_level
40999,"Not in metropolitan area, OK",B
41060,"St. Cloud, MN",B
41100,"St. George, UT",B
41140,"St. Joseph, MO-KS",B
41180,"St. Louis, MO-IL",B
41420,"Salem, OR",B
41500,"Salinas, CA",B
41540,"Salisbury, MD-DE",B
41620,"Salt Lake City, UT",B
41660,"San Angelo, TX",B
41700,"San Antonio-New Braunfels, TX",B
41740,"San Diego-Carlsbad, CA",B
41860,"San Francisco-Oakland-Hayward, CA",B
41900,"San Germán, PR",B
41940,"San Jose-Sunnyvale-Santa Clara, CA",B
41980,"San Juan-Carolina-Caguas, PR",B
41999,"Not in metropolitan area, OR",B
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",B
42100,"Santa Cruz-Watsonville, CA",B
42140,"Santa Fe, NM",B
42200,"Santa Maria-Santa Barbara, CA",B
42220,"Santa Rosa, CA",B
42340,"Savannah, GA",B
42540,"Scranton--Wilkes-Barre--Hazleton, PA",B
42660,"Seattle-Tacoma-Bellevue, WA",B
42680,"Sebastian-Vero Beach, FL",B
42700,"Sebring, FL",B
42999,"Not in metropolitan area, PA",B
43100,"Sheboygan, WI",B
43300,"Sherman-Denison, TX",B
43340,"Shreveport-Bossier City, LA",B
43420,"Sierra Vista-Douglas, AZ",B
43580,"Sioux City, IA-NE-SD",B
43620,"Sioux Falls, SD",B
43780,"South Bend-Mishawaka, IN-MI",B
43900,"Spartanburg, SC",B
44060,"Spokane-Spokane Valley, WA",B
44100,"Springfield, IL",B
44140,"Springfield, MA",B
44180,"Springfield, MO",B
44220,"Springfield, OH",B
44300,"State College, PA",B
44420,"Staunton-Waynesboro, VA",B
44700,"Stockton-Lodi, CA",B
44940,"Sumter, SC",B
44999,"Not in metropolitan area, RI",B
45060,"Syracuse, NY",B
45220,"Tallahassee, FL",B
45300,"Tampa-St. Petersburg-Clearwater, FL",B
45460,"Terre Haute, IN",B
45500,"Texarkana, TX-AR",B
45540,"The Villages, FL",B
45780,"Toledo, OH",B
45820,"Topeka, KS",B
45940,"Trenton, NJ",B
45999,"Not in metropolitan area, SC",B
46060,"Tucson, AZ",B
46140,"Tulsa, OK",B
46220,"Tuscaloosa, AL",B
46300,"Twin Falls, ID",B
46340,"Tyler, TX",B
46520,"Urban Honolulu, HI",B
46540,"Utica-Rome, NY",B
46660,"Valdosta, GA",B
46700,"Vallejo-Fairfield, CA",B
46999,"Not in metropolitan area, SD",B
47020,"Victoria, TX",B
47220,"Vineland-Bridgeton, NJ",B
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",B
47300,"Visalia-Porterville, CA",B
47380,"Waco, TX",B
47460,"Walla Walla, WA",B
47580,"Warner Robins, GA",B
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",B
47940,"Waterloo-Cedar Falls, IA",B
47999,"Not in metropolitan area, TN",B
48060,"Watertown-Fort Drum, NY",B
48140,"Wausau, WI",B
48260,"Weirton-Steubenville, WV-OH",B
48300,"Wenatchee, WA",B
48540,"Wheeling, WV-OH",B
48620,"Wichita, KS",B
48660,"Wichita Falls, TX",B
48700,"Williamsport, PA",B
48900,"Wilmington, NC",B
48999,"Not in metropolitan area, TX",B
49020,"Winchester, VA-WV",B
49180,"Winston-Salem, NC",B
49340,"Worcester, MA-CT",B
49420,"Yakima, WA",B
49620,"York-Hanover, PA",B
49660,"Youngstown-Warren-Boardman, OH-PA",B
49700,"Yuba City, CA",B
